Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Goosebumps: Haunted Halloween,7.2,Odeya Rush,Madison Iseman,Jack Black,"Adventure, Comedy, Family",A young orphan named Lewis Barnavelt aids his magical uncle in locating a clock with the power to bring about the end of the world.
A Nightmare on Elm Street,7.4,Heather Langenkamp,Johnny Depp,Robert Englund,Horror,Plot unknown.
Knock Knock,5.6,Keanu Reeves,Lorenza Izzo,Ana de Armas,"Drama, Horror, Thriller","Several people are hunted by a cruel serial killer who kills his victims in their dreams. While the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep."
Beauty and the Beast,7.6,Jay Ryan,Nina Lisandrello,Austin Basis,"Drama, Horror, Romance","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
The Amityville Horror,6.0,Ryan Reynolds,Melissa George,Jimmy Bennett,"Drama, Horror, Mystery",Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.
Day of the Dead: Bloodline,3.4,Sophie Skelton,Johnathon Schaech,Jeff Gum,Horror,A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.
The Amityville Horror,6.2,James Brolin,Margot Kidder,Rod Steiger,Horror,"Newlyweds move into a large house where a mass murder was committed, and experience strange manifestations which drive them away."
Overlord,3.3,Wyatt Russell,Bokeem Woodbine,Iain De Caestecker,"Action, Horror, Mystery",The story of two American soldiers behind enemy lines on D Day.
The Open House,6.1,Suzanne Coote,Dylan Minnette,Piercey Dalton,"Horror, Thriller",A teenager and his mother find themselves besieged by threatening forces when they move into a new house.
Scream 2,5.3,Neve Campbell,Courteney Cox,David Arquette,"Horror, Mystery","Two years after the first series of murders, a new psychopath dons the Ghostface costume and a new string of killings begins."
The Bad Batch,7.6,Suki Waterhouse,Jason Momoa,Jayda Fink,"Drama, Horror, Romance","THE BAD BATCH follows Arlen (Waterhouse) after she's left in a Texas wasteland fenced off from civilization. While trying to navigate the unforgiving landscape, Arlen is captured by a ..."
Haven,6.4,Lucas Bryant,Eric Balfour,Richard Donat,"Crime, Drama, Fantasy",»
The Voices,7.2,Ryan Reynolds,Gemma Arterton,Anna Kendrick,"Action, Comedy, Crime","Everyone in the coastal town of Haven, Maine has a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
Channel Zero,5.9,Abigail Pniowsky,Keenan Lehmann,Amy Forsyth,"Drama, Horror, Mystery","A likable guy pursues his office crush with the help of his evil talking pets, but things turn sinister when she stands him up for a date."
The Mortal Instruments: City of Bones,6.8,Lily Collins,Jamie Campbell Bower,Robert Sheehan,"Action, Fantasy, Horror","An anthology series based on popular Internet Creepypastas, including Candle Cove, The No-End House, Butcher's Block and Hidden Door."
Insidious,7.2,Patrick Wilson,Rose Byrne,Ty Simpkins,"Horror, Mystery, Thriller","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
I Am Legend,5.9,Will Smith,Alice Braga,Charlie Tahan,"Drama, Horror, Sci-Fi",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
